//type,
10001,1,0,0,0,0,0,0,0,0,0,1
10002,1,2,0,0,0,0,0,0,0,0,2
10003,1,2,3,0,0,0,0,0,0,0,3
10004,1,2,3,4,0,0,0,0,0,0,4
10005,1,2,3,4,5,0,0,0,0,0,5
11001,1,0,0,0,0,1,0,0,0,0,1
11002,1,2,0,0,0,1,1,0,0,0,2
11003,1,2,3,0,0,1,1,1,0,0,3
11004,1,2,3,4,0,1,1,1,1,0,4
11005,1,2,3,4,5,1,1,1,1,1,5
20001,1,0,0,0,0,0,0,0,0,0,1
20002,1,2,0,0,0,0,0,0,0,0,2
20003,1,2,3,0,0,0,0,0,0,0,3
20004,1,2,3,4,0,0,0,0,0,0,4
20005,1,2,3,4,5,0,0,0,0,0,5
21001,1,0,0,0,0,1,1,1,1,1,1
21002,1,2,0,0,0,1,1,1,1,1,2
21003,1,2,3,0,0,1,1,1,1,1,3
21004,1,2,3,4,0,1,1,1,1,1,4
21005,1,2,3,4,5,1,1,1,1,1,5
30001,1,0,0,0,0,0,0,0,0,0,1
30002,1,2,0,0,0,0,0,0,0,0,2
30003,1,2,3,0,0,0,0,0,0,0,3
30004,1,2,3,4,0,0,0,0,0,0,4
30005,1,2,3,4,5,0,0,0,0,0,5
31001,1,0,0,0,0,1,1,1,1,1,1
31002,1,2,0,0,0,1,1,1,1,1,2
31003,1,2,3,0,0,1,1,1,1,1,3
31004,1,2,3,4,0,1,1,1,1,1,4
31005,1,2,3,4,5,1,1,1,1,1,5
40001,1,0,0,0,0,0,0,0,0,0,1
40002,1,2,0,0,0,0,0,0,0,0,2
40003,1,2,3,0,0,0,0,0,0,0,3
40004,1,2,3,4,0,0,0,0,0,0,4
40005,1,2,3,4,5,0,0,0,0,0,5
41001,1,0,0,0,0,1,1,1,1,1,1
41002,1,2,0,0,0,1,1,1,1,1,2
41003,1,2,3,0,0,1,1,1,1,1,3
41004,1,2,3,4,0,1,1,1,1,1,4
41005,1,2,3,4,5,1,1,1,1,1,5
50001,1,0,0,0,0,0,0,0,0,0,1
50002,1,2,0,0,0,0,0,0,0,0,2
50003,1,2,3,0,0,0,0,0,0,0,3
50004,1,2,3,4,0,0,0,0,0,0,4
50005,1,2,3,4,5,0,0,0,0,0,5
51001,1,0,0,0,0,1,1,1,1,1,1
51002,1,2,0,0,0,1,1,1,1,1,2
51003,1,2,3,0,0,1,1,1,1,1,3
51004,1,2,3,4,0,1,1,1,1,1,4
51005,1,2,3,4,5,1,1,1,1,1,5
100000,1,0,0,0,0,0,0,0,0,0,1
200000,1,2,0,0,0,0,0,0,0,0,2
300000,1,2,3,0,0,0,0,0,0,0,3
400000,1,2,3,4,0,0,0,0,0,0,4
500000,1,2,3,4,5,0,0,0,0,0,5
110000,1,0,0,0,0,1,0,0,0,0,1
211000,1,2,0,0,0,1,1,0,0,0,2
311100,1,2,3,0,0,1,1,1,0,0,3
411110,1,2,3,4,0,1,1,1,1,0,4
511111,1,2,3,4,5,1,1,1,1,1,5
120000,1,0,0,0,0,2,0,0,0,0,1
222000,1,2,0,0,0,2,2,0,0,0,2
322200,1,2,3,0,0,2,2,2,0,0,3
422220,1,2,3,4,0,2,2,2,2,0,4
522222,1,2,3,4,5,2,2,2,2,2,5
130000,1,0,0,0,0,3,0,0,0,0,1
233000,1,2,0,0,0,3,3,0,0,0,2
333300,1,2,3,0,0,3,3,3,0,0,3
433330,1,2,3,4,0,3,3,3,3,0,4
533333,1,2,3,4,5,3,3,3,3,3,5
