//EpiID,1,2,3,4,5,6,7,8,(0),(0),(0),(0),1=Normal:2=Match,level,1=Match:2=Normal,minuser,maxuser,minteam,maxteam,(2),0or1or2
9999,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,26,2,1,8,1,1,2,0
5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,8,1,1,2,0
15,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,1,8,1,1,2,0
17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,8,1,1,2,0
18,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,8,1,1,2,0
23,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,1,8,1,1,2,0
27,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,1,8,1,1,2,0
31,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,1,8,1,1,2,0
32,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,1,8,1,1,2,0
33,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,8,1,1,2,0
34,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,1,8,1,1,2,0
44,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,8,1,1,2,0
56,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,1,8,1,1,2,0
61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0
62,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,16,2,2,2,1
63,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,1,8,1,1,2,0
64,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,1,8,1,1,2,0
68,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,8,1,1,2,0
69,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,32,2,2,2,1
70,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,1,8,1,1,2,0
71,0,0,0,0,0,0,0,0,0,0,0,0,1,26,2,1,8,1,1,2,0
76,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,1,8,1,1,2,0
77,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,1,8,1,1,2,0
79,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,8,1,1,2,0
