1,8
2,12
3,16
4,22
5,28
6,35
7,44
8,54
9,65
10,78
11,92
12,108
13,126
14,145
15,167
16,190
17,215
18,243
19,273
20,305
21,339
22,376
23,416
24,458
25,503
26,551
27,602
28,655
29,712
30,772
31,922
32,1087
33,1271
34,1472
35,1693
36,1934
37,2195
38,2478
39,2782
40,3110
41,3462
42,3838
43,4240
44,4668
45,5122
46,5604
47,6115
48,6656
49,7226
50,7827
51,8460
52,9125
53,9823
54,10555
55,11323
56,12125
57,12964
58,13840
59,14753
60,15705
61,17725
62,19893
63,22215
64,24695
65,27337
66,30145
67,33123
68,36276
69,39609
70,43125
71,46828
72,50724
73,54815
74,59107
75,63603
76,68308
77,73226
78,78362
79,83720
80,89305
81,95120
82,101169
83,107457
84,113989
85,120767
86,127798
87,135084
88,142631
89,150442
90,158522
91,172533
92,187491
93,203197
94,219666
95,236913
96,254953
97,273800
98,293470
99,313978
100,335338
101,357566
102,380676
103,404684
104,429604
105,455451
106,482240
107,509987
108,538709
109,568412
110,599125
111,630851
112,663609
113,697406
114,732272
115,768214
116,805249
117,843389
118,882652
119,923051
120,964602
121,1007267
122,1028971
123,1063395
124,1103463
125,1142505
126,1190010
127,1288748
128,1316552
129,1382121
130,1452246
131,1525749
132,1607705
133,1692297
134,1779559
135,1869527
136,1962235
137,2057718
138,2156011
139,2257148
140,2364133
141,2468097
142,2577978
143,2690843
144,2806728
145,2925666
146,3047692
147,3172842
148,3286625
149,3432653
150,3531952
151,4705440
152,4687471
153,4684952
154,4697883
155,4726264
156,4770095
157,4829376
158,4904107
159,4994288
160,5099893
161,5221000
162,5357531
163,5509512
164,5676943
165,5859824
166,6058155
167,6271936
168,6501167
169,6745848
170,7005979
171,7281555
172,7572591
173,7879072
174,8201003
175,8538384
176,8891215
177,9259496
178,9643227
179,10042408
180,10457039
181,10549983
182,10926919
183,11310932
184,11702146
185,12096885
186,12506672
187,12920230
188,13341483
189,13770555
190,14207570
191,14652651
192,15105921
193,15567504
194,16037524
195,16504756
196,17003370
197,17499442
198,18004445
199,18518503
200,19037860
201,19571986
202,20115453
203,20668332
204,21230697
205,21802621
206,22384178
207,22915441
208,23576483
209,24187378
210,24808198
211,25439017
212,26079909
213,26730969
214,27392201
215,28013749
216,28745662
217,29438014
218,30140877
219,30854326
220,31590261
221,32337022
222,33096760
223,33869552
224,34655472
225,35454595
226,36266995
227,37092747
228,37931927
229,38784609
230,39650868
231,40530779
232,41424416
233,42331854
234,43253169
235,44188434
236,45137726
237,46101118
238,47078686
239,48070504
240,49076647
241,50097190
242,51132208
243,52181776
244,53245968
245,54324859
246,55418525
247,56527039
248,57650477
249,58788914
250,59942424
251,61111082
252,62294964
253,63494143
254,64708695
255,65938695
256,67184217
257,68445336
258,69722127
259,71014665
260,72323025
261,73647281
262,74987509
263,76343782
264,77716177
265,79104768
266,80509629
267,81930835
268,83368462
269,84822584
270,86293276
271,87780613
272,89284669
273,90805520
274,92343239
275,93897903
276,95469586
277,97058363
278,98664308
279,100287496
280,101928003
281,103585903
282,105261270
283,106954180
284,108664708
285,110392928
286,112138915
287,113902744
288,115684490
289,117484228
290,119302032
291,121137977
292,122992139
293,124864591
294,126755409
295,128664668
296,130592442
297,132538806
298,134503836
299,136487605
300,138490189
