//typeMonster,typeBasis,name,,level
1,1,ソソ,0,26,-1
2,2,アンモネラ,0,26,-1
3,3,マルシュ,0,26,-1
4,4,テディ,0,26,-1
5,5,ボボカン,0,26,-1
6,6,ワイルドウッドヘリアン,0,26,-1
7,7,ラッチュー,0,26,-1
8,15,"書架足 3号",0,26,-1
9,16,"メカドロシー 3号",1,26,-1
1001,16,"メカドロシー 3号",1,26,-1
10,51,ドロシー,0,26,-1
11,1,ソソ,0,87,-1
12,8,ゲトー,0,87,-1
13,9,モネラ,0,87,-1
14,10,ウッド,0,87,-1
15,11,バラウス,0,87,-1
16,12,ハイバラウス,0,87,-1
17,13,グレートバラウス,0,87,-1
1002,13,グレートバラウス,0,87,-1
45,13,グレートバラウス,1,87,-1
1009,13,グレートバラウス,1,87,-1
18,17,ワルグマー,0,52,-1
19,18,ドワルグマー,0,52,-1
21,20,"ホームキーパー mk-2",0,52,-1
20,19,変熊,1,52,-1
1005,19,変熊,1,52,-1
23,22,カルテ,0,52,-1
24,23,チャート,0,52,-1
22,21,ステファノ,1,52,-1
1003,21,ステファノ,1,52,-1
26,7,ラッチュー,0,52,-1
27,5,ボボカン,0,52,-1
25,24,ビアンカ,1,52,-1
1004,24,ビアンカ,1,52,-1
28,5,ボボカン,0,69,-1
29,20,"ホームキーパー mk-2",0,69,-1
30,21,ステファノ,1,69,-1
1006,21,ステファノ,1,69,-1
32,23,チャート,0,69,-1
33,22,カルテ,0,69,-1
34,18,ドワルグマー,0,69,-1
31,24,ビアンカ,1,69,-1
1007,24,ビアンカ,1,69,-1
36,17,ワルグマー,0,69,-1
35,19,変熊,1,69,-1
1008,19,変熊,1,69,-1
37,1,ソソ,0,1,-1
9037,148,デカソソ,2,1,-1
38,7,ラッチュー,0,5,-1
9038,149,デカルシュ,2,5,-1
39,11,バラウス,0,46,-1
40,10,ウッド,0,46,-1
46,8,ゲトー,0,46,-1
47,12,ハイバラウス,0,46,-1
9039,149,デカルシュ,2,46,-1
41,51,ドロシー,0,36,-1
42,3,マルシュ,0,36,-1
43,2,アンモネラ,0,36,-1
44,51,ドロシー,1,36,-1
92,26,ゲートキーパー,1,35,-1
86,46,ハッコウモリ,0,35,-1
87,63,☆ソソ☆,0,35,-1
88,30,ネイバー,0,35,-1
89,47,リトルクロコ,0,35,-1
90,33,クロコ,0,35,-1
91,25,ブラービー,0,35,-1
125,64,アンティーク柱,0,35,-1
48,11,バラウス,0,55,-1
49,12,ハイバラウス,0,55,-1
9048,148,デカソソ,2,55,-1
77,29,ミュロビー,0,75,-1
78,120,怒ったミュロビー,0,75,-1
9077,149,デカルシュ,2,75,-1
96,28,フランソワ,1,100,-1
